SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
CROMPTON,1032000,610500,5089500,5032500,5146500,5485500,4705500,4201500,3133500,3126000,2260500,1858500,10195.310000000001,-6152.5,-9631.87,10604.83,-15747.839999999998,13636.289999999999,-367.42,8983.37,6094.66,3308.68,0,0,0,1.8713,1.1856,0.6325,0.0000,0.0000,0.0000,0.5916
CUB,6485000,1580000,10620000,11005000,11035000,9835000,9600000,8100000,6160000,6015000,3415000,2660000,-7932.93,-11613.44,-10411.42,5503.87,15281.8,-10338.42,-1052.3500000000001,9395.48,4390.179999999999,3388.71,0,0,0,2.6076,0.2528,0.5624,0.0000,0.0000,0.0000,0.2436
CUMMINSIND,907200,547800,3301200,3249600,3273000,3273000,3089400,1735200,1317000,1307400,876000,77400,14067.230000000001,-20529.42,37427.03999999999,-26420.55,-37237.909999999996,16908.579999999998,-427.57,10921.5,13207.03,925.71,0,0,0,-0.8921,0.8742,0.1510,0.0000,0.0000,0.0000,0.6038
DABUR,2982500,1986250,13820000,13816250,14088750,13968750,13552500,11596250,8080000,7882500,4616250,2347500,-6615.7,12236.150000000001,-12460.06,-20136.3,50088.04,-33127.8,-3184.42,-27344.18,19370.54,11651.119999999999,0,0,0,-0.2353,7.9182,0.0380,0.0000,0.0000,0.0000,0.6660
DALBHARAT,264500,166500,1327500,1349500,1366000,1264000,1293000,1049000,653500,649000,322500,152000,10904.29,-7470.66,-10496.96,4904.5599999999995,-11122.27,11979.449999999999,-421.02,-7878.63,4426.969999999999,2930.18,0,0,0,12.2816,5.3398,0.1696,0.0000,0.0000,0.0000,0.6295
DEEPAKNTR,893500,397000,1583000,1604250,1598250,1439750,1410000,1306500,910250,898750,479250,313750,14244.750000000002,-14938.429999999998,30289.14,8501.36,16162.609999999999,-17444.190000000002,-1500.65,-16239.599999999999,13941.12,2604.31,0,0,0,1.9420,8.6653,0.4036,0.0000,0.0000,0.0000,0.4443
DELTACORP,5402700,2650100,16170800,16945400,15026800,15080000,14655600,11088300,4666700,2359800,2444900,2467900,-9698.46,18165.409999999996,-6018.639999999999,5363.27,-17727.83,30794,7882.339999999999,-147.99,49.65,0,0,0,0,2.4223,0.7078,0.0475,0.0000,0.0000,0.0000,0.4905
DIVISLAB,837900,580950,2109150,2114700,2040600,2051850,1957350,1710150,1303200,1306200,706350,272100,-41800.67,66523.87,-16605.47,19896.28,26820.02,-25050.4,-1619.68,33862.89,20692.89,7127.35,0,0,0,41.3632,4.9993,0.4023,0.0000,0.0000,0.0000,0.6933
DIXON,279375,116000,506000,533000,506750,487625,474125,423625,383750,381375,220250,116125,-9563.32,-12549.19,12390.83,-8213.13,15878.439999999999,9065.5,-708.88,19845.44,-10006,1896.6200000000001,0,0,0,8.2751,10.0238,0.1286,0.0000,0.0000,0.0000,0.4152
DLF,7068600,5243700,43563300,43739850,43563300,43319100,42850500,39959700,28424550,28046700,8613000,4999500,36958.28999999999,35268.43,27220.76,-36569.47,79711.03,72278.94,-3021.87,86955.71999999999,-19137.399999999998,11994.34,0,0,0,6.9435,5.1922,0.2326,0.0000,0.0000,0.0000,0.7418
