SYMBOL,EXPIRY_DT,"SUM CE,OPEN_INT","SUM PE,OPEN_INT","%D_CE,OPEN_INT","%D_PE,OPEN_INT","%D_XX,OPEN_INT",PCR,"XX,OPEN_INT","XX,CLOSE","D_XX,CLOSE","XX,VAL_INLAKH",DELIV_PER,"SUM CE,CONTRACTS","SUM PE,CONTRACTS",PCV,"%D_SUM CE,CONTRACTS","%D_SUM PE,CONTRACTS",DAY
HAVELLS,27-Oct-2022,1529500,1122000,0.1334,-0.0145,-0.0245,0.7336,3950000,1237.1,-20.25,31571.37," 49.10",5519,3016,0.5465,-0.3690,-0.1150,Day1
HAVELLS,24-Nov-2022,9000,17000,0.0588,0.4167,1.4430,1.8889,278500,1241.55,-19.200000000000045,6822.25," 49.10",1,14,14.0000,-0.9474,-0.3000,Day1
HAVELLS,29-Dec-2022,0,500,0.0000,0.0000,0.0000,0.0000,10000,1243.65,-28.5,56.09," 49.10",0,0,0.0000,0.0000,0.0000,Day1
HCLTECH,27-Oct-2022,10706500,6347600,0.0758,-0.0449,-0.0202,0.5929,17616200,985.3,-8.600000000000023,35876.79," 47.10",16886,10001,0.5923,-0.7360,-0.6983,Day1
HCLTECH,24-Nov-2022,461300,231700,0.1207,0.0712,0.1513,0.5023,857500,989.5,-8.350000000000023,4177.46," 47.10",394,148,0.3756,-0.6208,-0.6105,Day1
HCLTECH,29-Dec-2022,1400,16100,0.0000,0.0000,0.2540,11.5000,55300,994.45,-8.449999999999932,355.95," 47.10",0,0,0.0000,-1.0000,-1.0000,Day1
HDFC,27-Oct-2022,3402900,2001900,0.0628,-0.0478,-0.0280,0.5883,16728300,2348.45,-2.550000000000182,139436.68," 67.15",28478,11820,0.4151,-0.1063,-0.1662,Day1
HDFC,24-Nov-2022,219600,276900,0.2241,0.3614,1.4382,1.2609,1532400,2356.85,-1.7000000000002728,29389.32," 67.15",463,601,1.2981,-0.3423,0.6882,Day1
HDFC,29-Dec-2022,0,2700,0.0000,0.5000,0.3036,0.0000,43800,2368.45,-4.25,1056.33," 67.15",0,4,0.0000,0.0000,0.0000,Day1
HDFCAMC,27-Oct-2022,763800,393300,-0.0016,-0.0360,-0.0106,0.5149,2154600,1914.6,20.649999999999864,6957.28," 44.65",2069,259,0.1252,-0.1447,-0.5424,Day1
HDFCAMC,24-Nov-2022,117600,75300,0.3517,0.2613,0.1416,0.6403,394200,1905.75,18.700000000000045,2170.93," 44.65",272,83,0.3051,-0.4392,-0.5585,Day1
HDFCAMC,29-Dec-2022,0,1200,0.0000,0.0000,0.0634,0.0000,45300,1903,19.25,227.04," 44.65",0,0,0.0000,0.0000,-1.0000,Day1
HDFCBANK,27-Oct-2022,21502250,9489700,0.0455,-0.0307,-0.0034,0.4413,61014800,1448.2,4.100000000000136,286889.3," 47.49",128333,58848,0.4586,0.2450,0.1119,Day1
HDFCBANK,24-Nov-2022,1827650,1071950,0.5029,0.3639,0.1571,0.5865,3463350,1453.75,5.5499999999999545,32289.03," 47.49",4686,1659,0.3540,0.5014,0.5248,Day1
HDFCBANK,29-Dec-2022,39050,43450,0.3148,0.0676,0.4192,1.1127,178750,1458.3,2.349999999999909,2735.62," 47.49",40,22,0.5500,-0.0476,-0.4762,Day1
HDFCLIFE,27-Oct-2022,6875000,4137100,0.0159,-0.0251,-0.0114,0.6018,21683200,524.75,0.14999999999997726,11689.09," 48.24",3644,1239,0.3400,-0.3223,-0.3431,Day1
