SYMBOL,SERIES,CLOSE_PRICE1,CLOSE_PRICE2,CLOSE_PRICE3,CLOSE_PRICE4,CLOSE_PRICE5,CLOSE_PRICE6,CLOSE_PRICE7,CLOSE_PRICE8,CLOSE_PRICE9,CLOSE_PRICE10,%P_CHANGE,TTL_TRD_QNTY1,TTL_TRD_QNTY2,TTL_TRD_QNTY3,TTL_TRD_QNTY4,TTL_TRD_QNTY5,TTL_TRD_QNTY6,TTL_TRD_QNTY7,TTL_TRD_QNTY8,TTL_TRD_QNTY9,TTL_TRD_QNTY10,%TTL_TRD_QNTY_CHANGE,DELIV_QTY1,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7,DELIV_QTY8,DELIV_QTY9,DELIV_QTY10,DELIV_PER1,DELIV_PER2,DELIV_PER3,DELIV_PER4,DELIV_PER5,DELIV_PER6,DELIV_PER7,DELIV_PER8,DELIV_PER9,DELIV_PER10,CASHFLOW1,CASHFLOW2,CASHFLOW3,CASHFLOW4,CASHFLOW5,CASHFLOW6,CASHFLOW7,CASHFLOW8,CASHFLOW9,"SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10",%OI_CHANGE,"SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10",AVG_PRICE1,AVG_PRICE2,AVG_PRICE3,AVG_PRICE4,AVG_PRICE5,AVG_PRICE6,AVG_PRICE7,AVG_PRICE8,AVG_PRICE9,AVG_PRICE10
KELLTONTEC," EQ",62.85,63.7,63.2,63.2,62.7,62.25,62.75,63.1,63.9,63.2,-1.3343799058084793,116802,118802,127535,127535,128624,205247,123810,117169,120649,158546,-0.0168," 65996"," 68646"," 69499"," 69499"," 84267"," 97008"," 64345"," 67521"," 55924"," 81793"," 56.50"," 57.78"," 54.49"," 54.49"," 65.51"," 47.26"," 51.97"," 57.63"," 46.35"," 51.59",-4166987.44,4372750.2,-4373572.07,4373572.07,-5220340.65,-6059119.68,-4046657.05,-4303113.33,3564595.7600000002,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,63.14,63.7,62.93,62.93,61.95,62.46,62.89,63.73,63.74,63.33
KENNAMET," EQ",2500.25,2569,2561.9,2561.9,2489.2,2518.05,2537.95,2580.1,2612.65,2599.8,-2.6761385753211364,32745,12517,7844,7844,1802,9737,9696,43526,8725,27645,1.6160," 27182"," 8399"," 3381"," 3381"," 954"," 3942"," 4249"," 34007"," 3900"," 13622"," 83.01"," 67.10"," 43.10"," 43.10"," 52.94"," 40.48"," 43.82"," 78.13"," 44.70"," 49.27",-68733764.3,21539991.41,-8643256.02,8643256.02,-2390771.7,-9879440.399999999,-10818888.78,88973534.31,-10169250,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,2528.65,2564.59,2556.42,2556.42,2506.05,2506.2,2546.22,2616.33,2607.5,2614.04
KESORAMIND," EQ",55.5,54.9,54.75,54.75,55.6,54.2,54.75,54.7,54.75,55.85,1.0928961748633905,488200,269345,789375,789375,216242,309668,457436,265764,572455,965048,0.8125," 207122"," 150833"," 307913"," 307913"," 167054"," 158608"," 174649"," 137387"," 300440"," 352036"," 42.43"," 56.00"," 39.01"," 39.01"," 77.25"," 51.22"," 38.18"," 51.70"," 52.48"," 36.48",11449704.16,-8286765.02,-16996797.6,-16996797.6,9276508.620000001,-8628275.2,-9535835.4,-7538424.6899999995,-16614332,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,55.28,54.94,55.2,55.2,55.53,54.4,54.6,54.87,55.3,55.32
KEYFINSERV," EQ",104.1,104.35,99.85,99.85,104.6,102,103.25,103.95,102.9,103.5,-0.23957834211787254,1546,25817,13562,13562,329,2728,1311,3204,2524,3552,-0.9401," 1202"," 6670"," 9490"," 9490"," 165"," 1771"," 710"," 2117"," 1584"," 1794"," 77.75"," 25.84"," 69.97"," 69.97"," 50.15"," 64.92"," 54.16"," 66.07"," 62.76"," 50.51",-125609,709287.8,-955737.8999999999,-955737.8999999999,17280.45,-181917.12,-73634.09999999999,220972.46,-164181.6,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,104.5,106.34,100.71,100.71,104.73,102.72,103.71,104.38,103.65,104.44
KHADIM," EQ",285.45,289.65,290.5,290.5,290.75,287.5,286,290.35,297.75,305.45,-1.4500258933195198,20862,84105,23503,23503,54999,46303,59236,82053,72559,68523,-0.7520," 14756"," 57977"," 14682"," 14682"," 41382"," 21628"," 32014"," 53711"," 43127"," 40991"," 70.73"," 68.93"," 62.47"," 62.47"," 75.24"," 46.71"," 54.04"," 65.46"," 59.44"," 59.82",4218002.600000001,-16507211.440000001,-4302853.74,4302853.74,-12063266.82,6316024.84,-9175852.68,-15917254.850000001,-12992871.29,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,285.85,284.72,293.07,293.07,291.51,292.03,286.62,296.35,301.27,306.87
KHAICHEM," EQ",75.85,73.65,74.05,74.05,74.95,73.65,73.75,74.2,74.05,75.7,2.9871011541072483,231029,104580,66934,66934,49185,119943,98185,123471,166431,303832,1.2091," 98748"," 56090"," 40055"," 40055"," 39107"," 69905"," 50899"," 57009"," 82638"," 93467"," 42.74"," 53.63"," 59.84"," 59.84"," 79.51"," 58.28"," 51.84"," 46.17"," 49.65"," 30.76",7461398.88,-4151781.8,-2982895.85,-2982895.85,2935762.4899999998,-5142211.8,-3766526,-4271114.28,-6229252.4399999995,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,75.56,74.02,74.47,74.47,75.07,73.56,74,74.92,75.38,75.4
KHAITANLTD," EQ",47.05,46.45,46.3,46.3,46.4,44.85,45.55,45.9,46.3,46.3,1.291711517761021,2835,4341,2701,2701,4673,1768,4959,6304,2220,2336,-0.3469," 986"," 498"," 1244"," 1244"," 2345"," 601"," 1587"," 1805"," 563"," 848"," 34.78"," 11.47"," 46.06"," 46.06"," 50.18"," 33.99"," 32.00"," 28.63"," 25.36"," 36.30",46115.22,23157,-57211.560000000005,-57211.560000000005,109910.15,27760.19,-72462.42,-83336.85,26269.579999999998,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,46.77,46.5,45.99,45.99,46.87,46.19,45.66,46.17,46.66,46.24
KHANDSE," EQ",27.95,28,29.45,29.45,29.4,29.65,28.25,26.95,25.7,24.5,-0.1785714285714311,31407,20210,38258,38258,37636,83574,30720,1804,8043,14239,0.5540," 19916"," 15835"," 31166"," 31166"," 27908"," 65557"," 22335"," 1804"," 8043"," 10742"," 63.41"," 78.35"," 81.46"," 81.46"," 74.15"," 78.44"," 72.71"," 100.00"," 100.00"," 75.44",-539922.76,-446547,-902879.02,-902879.02,830542.0800000001,1928031.37,626720.1,48617.799999999996,206705.1,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,27.11,28.2,28.97,28.97,29.76,29.41,28.06,26.95,25.7,24.5
KICL," EQ",1894.15,1869.55,1839.65,1839.65,1822.25,1845.1,1828.7,1837.55,1780.9,1731.7,1.3158246636891304,2394,1812,1414,1414,1436,597,1211,1273,1378,627,0.3212," 1748"," 1324"," 1137"," 1137"," 578"," 471"," 790"," 1016"," 1150"," 483"," 73.02"," 73.07"," 80.41"," 80.41"," 40.25"," 78.89"," 65.24"," 79.81"," 83.45"," 77.03",3328034.68,2454576.8400000003,-2076332.55,2076332.55,-1054959.82,873031.47,1461041.8,1848022.72,2054268,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,1903.91,1853.91,1826.15,1826.15,1825.19,1853.57,1849.42,1818.92,1786.32,1727.19
KILITCH," EQ",177.45,174.6,178.9,178.9,176.5,172.3,172.25,174.2,170.15,173.4,1.6323024054982787,5235,5743,8336,8336,9716,2619,2874,5711,17121,35246,-0.0885," 3262"," 4689"," 6537"," 6537"," 7566"," 1497"," 1852"," 3476"," 11787"," 30841"," 62.31"," 81.65"," 78.42"," 78.42"," 77.87"," 57.16"," 64.44"," 60.86"," 68.85"," 87.50",576721.6000000001,-824185.53,-1167181.35,1167181.35,1333280.52,-257079.81,320025.60000000003,600618.0399999999,-2007915.45,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,176.8,175.77,178.55,178.55,176.22,171.73,172.8,172.79,170.35,176.98
KIMS," EQ",1457.55,1460.75,1445.9,1445.9,1424.8,1408.1,1441.95,1456.4,1458.75,1448.8,-0.21906554851959922,10058,25756,20429,20429,15204,12793,27140,30876,118360,26354,-0.6095," 4940"," 11206"," 8906"," 8906"," 3862"," 6313"," 11060"," 10683"," 43404"," 13016"," 49.12"," 43.51"," 43.59"," 43.59"," 25.40"," 49.35"," 40.75"," 34.60"," 36.67"," 49.39",-7172731.8,16337787.700000001,-12838266.18,12838266.18,5519338.680000001,-8979169.29,-16004815.399999999,-15591518.01,63526962.48,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,1451.97,1457.95,1441.53,1441.53,1429.14,1422.33,1447.09,1459.47,1463.62,1454.72
KIOCL," EQ",179.6,180,179.6,179.6,180.25,179.7,185.15,183.95,185.6,183.9,-0.22222222222222537,11919,8552,12136,12136,7470,35003,11553,11942,12111,7602,0.3937," 8570"," 4188"," 8276"," 8276"," 5467"," 24882"," 6874"," 7011"," 8038"," 4553"," 71.90"," 48.97"," 68.19"," 68.19"," 73.19"," 71.09"," 59.50"," 58.71"," 66.37"," 59.89",-1540886,753421.2000000001,-1488686.88,-1488686.88,-987340.2,-4523049.96,1272171.18,-1293880.05,1490084.44,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,179.8,179.9,179.88,179.88,180.6,181.78,185.07,184.55,185.38,184.39
KIRIINDUS," EQ",517.75,489.1,493.95,493.95,495.8,497.5,495.95,498,500.35,507.2,5.8576978123083165,587795,69894,47952,47952,13755,35125,43323,48361,74130,62144,7.4098," 256451"," 45104"," 31924"," 31924"," 9980"," 15603"," 23874"," 28922"," 35603"," 31298"," 43.63"," 64.53"," 66.57"," 66.57"," 72.56"," 44.42"," 55.11"," 59.80"," 48.03"," 50.36",131426008.48,-22224996,-15836857.92,15836857.92,-4949181.8,-7752662.61,-11878508.700000001,-14457529.36,-17873774.09,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,512.48,492.75,496.08,496.08,495.91,496.87,497.55,499.88,502.03,507.8
KIRLFER," EQ",266.15,267.2,267.4,267.4,268.75,256.9,264.85,277.1,282.55,287.55,-0.3929640718562917,71813,124161,97987,97987,115835,151667,340698,212084,219660,169056,-0.4216," 34181"," 59312"," 38569"," 38569"," 83645"," 91907"," 215852"," 122139"," 131529"," 74562"," 47.60"," 47.77"," 39.36"," 39.36"," 72.21"," 60.60"," 63.36"," 57.59"," 59.88"," 44.10",-9163242.479999999,15922899.52,-10277095.739999998,-10277095.739999998,22322341.150000002,-24126506.57,-58077139.12,-34349150.97,-37462089.78,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,268.08,268.46,266.46,266.46,266.87,262.51,269.06,281.23,284.82,286.09
KIRLOSBROS," EQ",355,360.25,362.55,362.55,371.25,350.5,332,335.1,335.5,330.35,-1.457321304649549,26376,34354,63413,63413,134907,81394,15025,21752,20787,35602,-0.2322," 16744"," 18110"," 27435"," 27435"," 74010"," 41972"," 8412"," 14648"," 7557"," 21546"," 63.48"," 52.72"," 43.26"," 43.26"," 54.86"," 51.57"," 55.99"," 67.34"," 36.35"," 60.52",-5963710.48,-6525576.3,-10039289.55,-10039289.55,27306729.599999998,14552531.840000002,-2799177.12,-4922899.84,2548900.5300000003,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,356.17,360.33,365.93,365.93,368.96,346.72,332.76,336.08,337.29,334.27
KIRLOSENG," EQ",258.75,263.4,263.55,263.55,265,255.65,269.55,273.35,279.8,285.85,-1.7653758542141145,273776,222578,269306,269306,146271,441417,254396,458393,531870,963558,0.2300," 133796"," 113173"," 103640"," 103640"," 81798"," 207599"," 112854"," 194820"," 207126"," 298009"," 48.87"," 50.85"," 38.48"," 38.48"," 55.92"," 47.03"," 44.36"," 42.50"," 38.94"," 30.93",-34853858,-29669433.680000003,-27384797.200000003,27384797.200000003,21542321.28,-53726621.2,-30681616.98,-53324182.199999996,-58473741.06,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,260.5,262.16,264.23,264.23,263.36,258.8,271.87,273.71,282.31,282.7
KIRLOSIND," EQ",1799.55,1809.1,1821.6,1821.6,1861.4,1852.35,1838,1818.05,1805.75,1870.25,-0.5278867945387185,1598,1723,2781,2781,2580,8103,6885,9852,5508,19189,-0.0725," 941"," 1073"," 1670"," 1670"," 1891"," 4564"," 4582"," 6420"," 3799"," 15098"," 58.89"," 62.28"," 60.05"," 60.05"," 73.29"," 56.32"," 66.55"," 65.16"," 68.97"," 78.68",-1695465.57,-1945906.96,-3050037.9,-3050037.9,3524294.52,8492828.12,8470147.74,-11691141,-6933099.0200000005,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,1801.77,1813.52,1826.37,1826.37,1863.72,1860.83,1848.57,1821.05,1824.98,1856.48
KITEX," EQ",202.85,202.75,202.9,202.9,204.75,203.15,202.7,201.9,204.2,205.25,0.049321824907518776,91044,51166,49142,49142,25190,48888,56979,66988,93822,64026,0.7794," 42370"," 25074"," 30390"," 30390"," 17097"," 22357"," 24871"," 29035"," 33503"," 31156"," 46.54"," 49.01"," 61.84"," 61.84"," 67.87"," 45.73"," 43.65"," 43.34"," 35.71"," 48.66",8644327.4,5094535.32,-6166434.899999999,-6166434.899999999,3504372.09,4544507.390000001,-5037123.63,-5913848.8,-6872805.42,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,204.02,203.18,202.91,202.91,204.97,203.27,202.53,203.68,205.14,206.06
KKCL," EQ",499.95,495.8,493.55,493.55,486,487.15,484.8,502.15,480.5,477.4,0.8370310609116534,136513,141239,93352,93352,53890,313865,232021,725257,122887,97623,-0.0335," 64830"," 68919"," 46304"," 46304"," 29994"," 118629"," 106110"," 445250"," 58724"," 48921"," 47.49"," 48.80"," 49.60"," 49.60"," 55.66"," 37.80"," 45.73"," 61.39"," 47.79"," 50.11",32411110.2,34140405.03,-22784809.28,22784809.28,-14651769.06,58503077.64,-51974800.2,222135225,28246244,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,499.94,495.37,492.07,492.07,488.49,493.16,489.82,498.9,481,477.43
KMSUGAR," EQ",25.85,25.9,26.15,26.15,26,26,26.05,26.05,26.15,26.15,-0.1930501930501821,98350,144049,50882,50882,58804,102556,101866,55876,107954,127021,-0.3172," 74294"," 113670"," 35244"," 35244"," 52546"," 51095"," 59959"," 39982"," 68415"," 92069"," 75.54"," 78.91"," 69.27"," 69.27"," 89.36"," 49.82"," 58.86"," 71.55"," 63.37"," 72.48",-1927186.36,-2948599.8000000003,-920220.84,920220.84,1368823.3,1330002.85,-1556535.6400000001,-1044329.8400000001,-1789736.4,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,25.94,25.94,26.11,26.11,26.05,26.03,25.96,26.12,26.16,26.16
KNRCON," EQ",220.75,222.4,218.9,218.9,212.05,214.95,205.15,217.45,219.45,219.95,-0.7419064748201464,142812,211571,206285,206285,101373,942769,567634,119199,96098,192868,-0.3250," 67104"," 115968"," 96472"," 96472"," 42954"," 233058"," 339499"," 60376"," 50356"," 114782"," 46.99"," 54.81"," 46.77"," 46.77"," 42.37"," 24.72"," 59.81"," 50.65"," 52.40"," 59.51",14820589.440000001,25546590.72,-20922847.36,20922847.36,-9150920.16,49743899.519999996,-71569784.19,-13190344.72,-11054652.68,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,220.86,220.29,216.88,216.88,213.04,213.44,210.81,218.47,219.53,220
