SYMBOL,STRIKE_PR,"OPTSTK,CE1","OPTSTK,PE1","FUTSTK,XX1","FUTSTK,XX2","FUTSTK,XX3","FUTSTK,XX4","FUTSTK,XX5","FUTSTK,XX6","FUTSTK,XX7","FUTSTK,XX8","FUTSTK,XX9","FUTSTK,XX10","AVG,VAL_INLAKH1","AVG,VAL_INLAKH2","AVG,VAL_INLAKH3","AVG,VAL_INLAKH4","AVG,VAL_INLAKH5","AVG,VAL_INLAKH6","AVG,VAL_INLAKH7","AVG,VAL_INLAKH8","AVG,VAL_INLAKH9","AVG,VAL_INLAKH10","OPTIDX,CE1","OPTIDX,PE1","FUTIDX,XX1","%OICOPTSTK,CE1","%OICOPTSTK,PE1","%OICFUTSTK,XX1","%OICOPTIDX,CE1","%OICOPTIDX,PE1","%OICFUTIDX,XX1",PCROPTSTK1
COFORGE,0,0,0,687300,696000,610500,486450,483900,398100,273150,249750,203850,179400,9372.17,15461.82,14017.019999999999,-391.89,19931.789999999997,11125.519999999999,-2003.57,-3980.0699999999997,-1917.77,4164.45,0,0,0,0.0000,0.0000,0.1218,0.0000,0.0000,0.0000,NULL
COLPAL,0,0,0,1967700,1960000,1833650,1412250,1416450,876750,155050,122150,116200,78050,-3884.29,-10160.390000000001,14535.740000000002,-548.96,14470.28,18815.13,-1100.62,-549.9000000000001,1468.9099999999999,309.15999999999997,0,0,0,0.0000,0.0000,0.1136,0.0000,0.0000,0.0000,NULL
CONCOR,0,0,0,6846000,6926000,5535000,3540000,3493000,2101000,850000,238000,167000,137000,-18238.46,52232.86,35427.37,-1044.26,-20945.850000000002,-18452.61,14239.63,-1907.8600000000001,1236.36,643.24,0,0,0,0.0000,0.0000,0.2032,0.0000,0.0000,0.0000,NULL
COROMANDEL,0,0,0,1080100,1082200,852600,423500,425600,261800,70700,56000,32900,28700,3227.31,-5590.98,8008.39,-774.06,4621.6,3534.63,-421.61,728.09,271.44,218.4,0,0,0,0.0000,0.0000,0.4955,0.0000,0.0000,0.0000,NULL
CROMPTON,0,0,0,5485500,4705500,4201500,3133500,3126000,2260500,1858500,1294500,1189500,994500,10604.83,-15747.839999999998,13636.289999999999,-367.42,8983.37,6094.66,-3218.98,-1716.65,-1236.78,1507.48,0,0,0,0.0000,0.0000,0.8624,0.0000,0.0000,0.0000,NULL
CUB,0,0,0,9835000,9600000,8100000,6160000,6015000,3415000,2660000,2155000,1615000,590000,5503.87,15281.8,-10338.42,-1052.3500000000001,9395.48,4390.179999999999,-3388.71,-3468.3599999999997,4968.870000000001,1769.4099999999999,0,0,0,0.0000,0.0000,0.2636,0.0000,0.0000,0.0000,NULL
CUMMINSIND,0,0,0,3273000,3089400,1735200,1317000,1307400,876000,77400,58200,40200,28800,-26420.55,-37237.909999999996,16908.579999999998,-427.57,10921.5,13207.03,-925.71,1192.66,-401.75,331.63,0,0,0,0.0000,0.0000,2.1555,0.0000,0.0000,0.0000,NULL
DABUR,0,0,0,13968750,13552500,11596250,8080000,7882500,4616250,2347500,947500,530000,457500,-20136.3,50088.04,-33127.8,-3184.42,-27344.18,19370.54,11651.119999999999,-4469.93,1276.3799999999999,1036.77,0,0,0,0.0000,0.0000,0.8125,0.0000,0.0000,0.0000,NULL
DALBHARAT,0,0,0,1264000,1293000,1049000,653500,649000,322500,152000,44000,37000,35500,4904.5599999999995,-11122.27,11979.449999999999,-421.02,-7878.63,4426.969999999999,-2930.18,-936.63,497.63,401.74,0,0,0,0.0000,0.0000,0.2267,0.0000,0.0000,0.0000,NULL
DEEPAKNTR,0,0,0,1439750,1410000,1306500,910250,898750,479250,313750,287500,220000,180750,8501.36,16162.609999999999,-17444.190000000002,-1500.65,-16239.599999999999,13941.12,-2604.31,-3704.15,2097.16,1450.4299999999998,0,0,0,0.0000,0.0000,0.1213,0.0000,0.0000,0.0000,NULL
DELTACORP,0,0,0,15080000,14655600,11088300,4666700,2359800,2444900,2467900,2467900,2470200,2479400,5363.27,-17727.83,30794,7882.339999999999,-147.99,49.65,-0,-4.97,-19.62,58.73,0,0,0,0.0000,0.0000,0.0362,0.0000,0.0000,0.0000,NULL
DIVISLAB,0,0,0,2051850,1957350,1710150,1303200,1306200,706350,272100,151500,129000,122250,19896.28,26820.02,-25050.4,-1619.68,33862.89,20692.89,7127.35,-2548.3500000000004,-863.74,1918.4499999999998,0,0,0,0.0000,0.0000,0.3626,0.0000,0.0000,0.0000,NULL
DIXON,0,0,0,487625,474125,423625,383750,381375,220250,116125,91125,81000,76125,-8213.13,15878.439999999999,9065.5,-708.88,19845.44,-10006,1896.6200000000001,-1497.0900000000001,-844.92,2048.47,0,0,0,0.0000,0.0000,0.3193,0.0000,0.0000,0.0000,NULL
DLF,0,0,0,43319100,42850500,39959700,28424550,28046700,8613000,4999500,3057450,1230900,886050,-36569.47,79711.03,72278.94,-3021.87,86955.71999999999,-19137.399999999998,11994.34,-9993.68,-3647.9900000000002,2845.14,0,0,0,0.0000,0.0000,0.2182,0.0000,0.0000,0.0000,NULL
DRREDDY,0,0,0,1612625,1464000,1259500,1002625,1003250,757375,445375,243125,209375,175250,37401.369999999995,-42796.83,40007.65,-2130.14,24528.530000000002,-20187.82,10757.050000000001,-3064.1800000000003,3233.67,2725.62,0,0,0,0.0000,0.0000,0.1836,0.0000,0.0000,0.0000,NULL
EICHERMOT,0,0,0,2742250,2774450,2182250,1346100,1337000,863800,405650,329000,295050,240450,37730.729999999996,-62699.94,67739.52,-3170.96,42776.259999999995,-30658,7836.53,6674.13,-4586.59,2474.4,0,0,0,0.0000,0.0000,0.6944,0.0000,0.0000,0.0000,NULL
ESCORTS,0,0,0,1031525,1035100,666050,370150,362450,195250,114400,85250,71500,63800,-8754.369999999999,20930.719999999998,15236.210000000001,-1157.18,-8292.87,-3903.94,2692.14,966.96,-853.1600000000001,1269.31,0,0,0,0.0000,0.0000,0.2112,0.0000,0.0000,0.0000,NULL
EXIDEIND,0,0,0,25293600,25466400,21063600,12985200,12319200,7329600,4431600,3733200,2620800,2397600,-6377.57,-19391.56,29006.89,-2353.95,17361.17,7534.17,2510.27,-2742.23,-806.41,648.94,0,0,0,0.0000,0.0000,-0.0043,0.0000,0.0000,0.0000,NULL
FEDERALBNK,0,0,0,81625000,82930000,73210000,48540000,46380000,20810000,10360000,7760000,6140000,4080000,36162.44,76064.04000000001,79774.09999999999,-8200.37,68751.11,-23754.600000000002,12204.07,-11898.67,-12300.92,14785.53,0,0,0,0.0000,0.0000,0.1476,0.0000,0.0000,0.0000,NULL
FSL,0,0,0,14939600,13878800,11190400,7716800,7545200,4706000,4118400,3302000,2797600,2698800,5658.84,-7760.66,11435.609999999999,-619.07,-7941.259999999999,2714.18,-1784.36,-1140.6000000000001,-495.03999999999996,913.8199999999999,0,0,0,0.0000,0.0000,0.4360,0.0000,0.0000,0.0000,NULL
GAIL,0,0,0,46747350,47159100,43325250,33150450,32839350,18620250,8399700,5105700,3495300,2708400,-18540.42,20274.399999999998,18031.25,-1023.1500000000001,-22307.670000000002,18521.94,4685.18,-2412.6,1907.29,574.47,0,0,0,0.0000,0.0000,0.1644,0.0000,0.0000,0.0000,NULL
